,DNo,Social Category,prim_Boys,prim_Girls,prim_Overall,snr_Boys,snr_Girls,snr_Overall,upPrim_Boys,upPrim_Girls,upPrim_Overall,prim,snr,upPrim
14,12415,Overall,3,0,,4,1,,3,4,,0.0,2.0,4.0
15,12416,Overall,0,0,,4,1,,1,1,,0.0,2.0,1.0
16,12417,Overall,0,0,,4,3,,1,1,,0.0,2.0,1.0
17,12418,Overall,0,0,,2,1,,1,1,,0.0,2.0,1.0
18,12419,Overall,0,0,,0,2,,1,1,,0.0,0.0,1.0
19,12420,Overall,0,0,,2,4,,1,1,,1.0,4.0,1.0
20,12421,Overall,0,2,,2,1,,1,1,,1.0,2.0,1.0
21,12422,Overall,0,2,,2,1,,1,1,,1.0,2.0,1.0
22,12423,Overall,0,2,,2,4,,2,1,,1.0,4.0,2.0
23,12424,Overall,2,2,,0,2,,2,2,,1.0,0.0,2.0
24,12425,Overall,2,2,,2,4,,2,2,,1.0,4.0,2.0
25,12426,Overall,2,2,,0,2,,2,2,,1.0,0.0,2.0
26,12427,Overall,2,4,,2,1,,2,2,,3.0,4.0,2.0
27,12428,Overall,2,4,,0,2,,2,2,,3.0,0.0,2.0
28,12429,Overall,2,4,,0,2,,2,2,,3.0,0.0,2.0
29,12430,Overall,2,4,,0,2,,2,2,,3.0,0.0,2.0
0,12401,SC,0,2,0.0,3,2,3.0,0,2,1.0,,,
1,12402,SC,0,2,0.0,3,4,3.0,0,2,1.0,,,
2,12403,SC,0,2,0.0,1,4,0.0,0,2,4.0,,,
3,12404,SC,0,2,0.0,3,2,3.0,0,2,1.0,,,
4,12405,SC,0,2,0.0,1,4,0.0,0,2,4.0,,,
5,12406,SC,0,2,0.0,3,2,3.0,0,2,4.0,,,
6,12407,SC,0,2,0.0,1,4,0.0,3,1,1.0,,,
7,12408,SC,0,2,0.0,1,0,0.0,3,1,1.0,,,
8,12409,SC,0,2,0.0,3,2,3.0,3,1,1.0,,,
9,12410,SC,3,4,3.0,1,0,0.0,3,1,0.0,,,
10,12411,SC,3,4,3.0,1,0,0.0,4,3,3.0,,,
11,12412,SC,3,4,3.0,1,0,0.0,3,1,0.0,,,
12,12413,SC,3,4,3.0,0,0,0.0,4,3,3.0,,,
13,12414,SC,3,3,3.0,0,0,0.0,3,1,0.0,,,
14,12415,SC,3,3,3.0,4,0,4.0,4,3,3.0,,,
15,12416,SC,2,3,2.0,4,0,4.0,2,1,0.0,,,
16,12417,SC,2,3,2.0,0,0,0.0,2,3,0.0,,,
17,12418,SC,2,3,2.0,4,0,4.0,2,3,0.0,,,
18,12419,SC,2,1,2.0,4,0,4.0,2,4,0.0,,,
19,12420,SC,2,1,2.0,0,3,2.0,2,4,0.0,,,
20,12421,SC,2,1,2.0,0,3,2.0,2,4,0.0,,,
21,12422,SC,1,1,1.0,2,1,1.0,2,0,2.0,,,
22,12423,SC,1,1,1.0,0,3,2.0,2,0,2.0,,,
23,12424,SC,1,1,1.0,2,1,1.0,1,0,2.0,,,
24,12425,SC,1,1,1.0,2,1,1.0,1,0,2.0,,,
25,12426,SC,1,0,1.0,2,1,1.0,1,0,2.0,,,
26,12427,SC,1,0,1.0,2,1,1.0,1,0,2.0,,,
27,12428,SC,1,0,1.0,2,1,1.0,1,0,2.0,,,
28,12429,SC,1,0,1.0,2,1,1.0,1,0,2.0,,,
29,12430,SC,4,0,4.0,2,1,1.0,1,0,2.0,,,
0,12401,ST,3,3,4.0,2,0,2.0,0,0,0.0,,,
1,12402,ST,3,3,4.0,2,0,2.0,0,0,0.0,,,
2,12403,ST,3,3,4.0,2,0,2.0,1,0,0.0,,,
3,12404,ST,3,3,4.0,2,0,2.0,1,0,0.0,,,
4,12405,ST,3,3,4.0,2,0,2.0,1,0,0.0,,,
5,12406,ST,1,1,2.0,2,0,2.0,1,0,0.0,,,
6,12407,ST,1,1,2.0,2,0,2.0,0,2,3.0,,,
7,12408,ST,1,1,2.0,2,0,2.0,1,0,0.0,,,
8,12409,ST,1,1,2.0,2,0,2.0,0,2,3.0,,,
9,12410,ST,1,1,2.0,2,2,1.0,0,2,3.0,,,
10,12411,ST,4,0,0.0,1,3,3.0,1,0,2.0,,,
11,12412,ST,4,0,0.0,1,2,0.0,1,0,2.0,,,
12,12413,ST,4,0,0.0,4,2,1.0,3,1,2.0,,,
13,12414,ST,4,0,0.0,4,2,1.0,3,1,2.0,,,
14,12415,ST,4,0,0.0,4,2,1.0,3,1,2.0,,,
15,12416,ST,0,0,0.0,4,2,1.0,3,1,2.0,,,
16,12417,ST,0,0,0.0,1,3,3.0,3,1,2.0,,,
17,12418,ST,0,0,0.0,4,2,1.0,3,1,2.0,,,
18,12419,ST,0,0,0.0,1,3,3.0,3,1,2.0,,,
19,12420,ST,0,0,1.0,0,4,4.0,4,4,4.0,,,
20,12421,ST,0,2,1.0,0,2,1.0,4,4,4.0,,,
21,12422,ST,0,2,1.0,0,2,1.0,4,4,4.0,,,
22,12423,ST,0,2,1.0,0,4,4.0,4,4,4.0,,,
23,12424,ST,2,2,1.0,3,1,0.0,4,4,4.0,,,
24,12425,ST,2,2,1.0,0,4,4.0,2,3,1.0,,,
25,12426,ST,2,2,1.0,3,1,0.0,2,3,1.0,,,
26,12427,ST,2,4,3.0,0,4,4.0,2,3,1.0,,,
27,12428,ST,2,4,3.0,0,1,0.0,2,3,1.0,,,
28,12429,ST,2,4,3.0,0,1,0.0,2,3,1.0,,,
29,12430,ST,2,4,3.0,0,1,0.0,2,3,1.0,,,
